@relation classType
@attribute rrInterval, NUMERIC 
@attribute classType { Exercise , BaseLine }
@data
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
15376 ,BaseLine
15376 ,BaseLine
12544 ,BaseLine
12544 ,BaseLine
141376 ,BaseLine
141376 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
169744 ,BaseLine
169744 ,BaseLine
57600 ,BaseLine
57600 ,BaseLine
121104 ,BaseLine
121104 ,BaseLine
11664 ,BaseLine
11664 ,BaseLine
44944 ,BaseLine
44944 ,BaseLine
104329 ,BaseLine
104329 ,BaseLine
19600 ,BaseLine
19600 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
207936 ,BaseLine
207936 ,BaseLine
23409 ,BaseLine
23409 ,BaseLine
87616 ,BaseLine
87616 ,BaseLine
65536 ,BaseLine
65536 ,BaseLine
96721 ,BaseLine
96721 ,BaseLine
57600 ,BaseLine
57600 ,BaseLine
115600 ,BaseLine
115600 ,BaseLine
115600 ,BaseLine
115600 ,BaseLine
115600 ,BaseLine
115600 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
80656 ,BaseLine
80656 ,BaseLine
40000 ,BaseLine
40000 ,BaseLine
92416 ,BaseLine
92416 ,BaseLine
13456 ,BaseLine
13456 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
85849 ,BaseLine
85849 ,BaseLine
43264 ,BaseLine
43264 ,BaseLine
16384 ,BaseLine
16384 ,BaseLine
132496 ,BaseLine
132496 ,BaseLine
68121 ,BaseLine
68121 ,BaseLine
10816 ,BaseLine
10816 ,BaseLine
132496 ,BaseLine
132496 ,BaseLine
17424 ,BaseLine
17424 ,BaseLine
15376 ,BaseLine
15376 ,BaseLine
153664 ,BaseLine
153664 ,BaseLine
16384 ,BaseLine
16384 ,BaseLine
24336 ,BaseLine
24336 ,BaseLine
170569 ,BaseLine
170569 ,BaseLine
170569 ,BaseLine
170569 ,BaseLine
87616 ,BaseLine
87616 ,BaseLine
214369 ,BaseLine
214369 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
17424 ,BaseLine
17424 ,BaseLine
107584 ,BaseLine
107584 ,BaseLine
43264 ,BaseLine
43264 ,BaseLine
23716 ,BaseLine
23716 ,BaseLine
132496 ,BaseLine
132496 ,BaseLine
43264 ,BaseLine
43264 ,BaseLine
197136 ,BaseLine
197136 ,BaseLine
25600 ,BaseLine
25600 ,BaseLine
108900 ,BaseLine
108900 ,BaseLine
78400 ,BaseLine
78400 ,BaseLine
12544 ,BaseLine
12544 ,BaseLine
147456 ,BaseLine
147456 ,BaseLine
105625 ,BaseLine
105625 ,BaseLine
105625 ,BaseLine
105625 ,BaseLine
126736 ,BaseLine
126736 ,BaseLine
65536 ,BaseLine
65536 ,BaseLine
13456 ,BaseLine
13456 ,BaseLine
153664 ,BaseLine
153664 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
29584 ,BaseLine
29584 ,BaseLine
119025 ,BaseLine
119025 ,BaseLine
71824 ,BaseLine
71824 ,BaseLine
132496 ,BaseLine
132496 ,BaseLine
25600 ,BaseLine
25600 ,BaseLine
51984 ,BaseLine
51984 ,BaseLine
97344 ,BaseLine
97344 ,BaseLine
10816 ,BaseLine
10816 ,BaseLine
87616 ,BaseLine
87616 ,BaseLine
38416 ,BaseLine
38416 ,BaseLine
33124 ,BaseLine
33124 ,BaseLine
141376 ,BaseLine
141376 ,BaseLine
17424 ,BaseLine
17424 ,BaseLine
160000 ,BaseLine
160000 ,BaseLine
43264 ,BaseLine
43264 ,BaseLine
12544 ,BaseLine
12544 ,BaseLine
166464 ,BaseLine
166464 ,BaseLine
80656 ,BaseLine
80656 ,BaseLine
147456 ,BaseLine
147456 ,BaseLine
13456 ,BaseLine
13456 ,BaseLine
