timeStamp,ECGValue,ClassType
0:29:43,485,BaseLine
0:29:43,492,BaseLine
0:29:43,485,BaseLine
0:29:43,493,BaseLine
0:29:43,485,BaseLine
0:29:43,493,BaseLine
0:29:43,485,BaseLine
0:29:43,492,BaseLine
0:29:43,485,BaseLine
0:29:43,492,BaseLine
0:29:43,485,BaseLine
0:29:43,492,BaseLine
0:29:43,485,BaseLine
0:29:43,492,BaseLine
0:29:43,485,BaseLine
0:29:43,492,BaseLine
0:29:43,484,BaseLine
0:29:43,492,BaseLine
0:29:43,484,BaseLine
0:29:43,493,BaseLine
0:29:43,483,BaseLine
0:29:43,493,BaseLine
0:29:43,483,BaseLine
0:29:43,493,BaseLine
0:29:43,483,BaseLine
0:29:43,493,BaseLine
0:29:43,483,BaseLine
0:29:43,494,BaseLine
0:29:43,483,BaseLine
0:29:43,494,BaseLine
0:29:43,483,BaseLine
0:29:43,494,BaseLine
0:29:43,483,BaseLine
0:29:43,494,BaseLine
0:29:43,483,BaseLine
0:29:43,494,BaseLine
0:29:43,483,BaseLine
0:29:43,494,BaseLine
0:29:43,483,BaseLine
0:29:43,494,BaseLine
0:29:43,483,BaseLine
0:29:43,494,BaseLine
0:29:43,483,BaseLine
0:29:43,494,BaseLine
0:29:43,482,BaseLine
0:29:43,494,BaseLine
0:29:43,482,BaseLine
0:29:43,493,BaseLine
0:29:43,484,BaseLine
0:29:43,493,BaseLine
0:29:43,489,BaseLine
0:29:43,493,BaseLine
0:29:43,496,BaseLine
0:29:43,493,BaseLine
0:29:43,503,BaseLine
0:29:43,493,BaseLine
0:29:43,507,BaseLine
0:29:43,493,BaseLine
0:29:43,505,BaseLine
0:29:43,493,BaseLine
0:29:43,499,BaseLine
0:29:43,493,BaseLine
0:29:43,489,BaseLine
0:29:43,493,BaseLine
0:29:43,479,BaseLine
0:29:43,494,BaseLine
0:29:43,472,BaseLine
0:29:43,493,BaseLine
0:29:43,469,BaseLine
0:29:43,493,BaseLine
0:29:43,469,BaseLine
0:29:43,492,BaseLine
0:29:43,472,BaseLine
0:29:43,492,BaseLine
0:29:43,475,BaseLine
0:29:43,495,BaseLine
0:29:43,479,BaseLine
0:29:43,500,BaseLine
0:29:43,483,BaseLine
0:29:43,507,BaseLine
0:29:43,485,BaseLine
0:29:43,514,BaseLine
0:29:43,487,BaseLine
0:29:43,517,BaseLine
0:29:43,488,BaseLine
0:29:43,515,BaseLine
0:29:43,488,BaseLine
0:29:43,508,BaseLine
0:29:43,488,BaseLine
0:29:43,498,BaseLine
0:29:43,488,BaseLine
0:29:43,489,BaseLine
0:29:43,488,BaseLine
0:29:43,483,BaseLine
0:29:43,488,BaseLine
0:29:43,480,BaseLine
0:29:43,489,BaseLine
0:29:43,480,BaseLine
0:29:43,489,BaseLine
0:29:43,482,BaseLine
0:29:43,489,BaseLine
0:29:43,486,BaseLine
0:29:43,490,BaseLine
0:29:43,490,BaseLine
0:29:43,490,BaseLine
0:29:43,493,BaseLine
0:29:43,490,BaseLine
0:29:43,495,BaseLine
0:29:43,491,BaseLine
0:29:43,496,BaseLine
0:29:43,491,BaseLine
0:29:43,496,BaseLine
0:29:43,491,BaseLine
0:29:43,496,BaseLine
0:29:43,492,BaseLine
0:29:43,496,BaseLine
0:29:43,492,BaseLine
0:29:43,496,BaseLine
0:29:43,492,BaseLine
0:29:43,496,BaseLine
0:29:43,492,BaseLine
0:29:43,496,BaseLine
0:29:43,492,BaseLine
0:29:43,496,BaseLine
0:29:43,492,BaseLine
0:29:43,497,BaseLine
0:29:43,493,BaseLine
0:29:43,497,BaseLine
0:29:43,493,BaseLine
0:29:43,497,BaseLine
0:29:43,494,BaseLine
0:29:43,497,BaseLine
0:29:43,494,BaseLine
0:29:43,497,BaseLine
0:29:43,495,BaseLine
0:29:43,497,BaseLine
0:29:43,495,BaseLine
0:29:43,498,BaseLine
0:29:43,496,BaseLine
0:29:43,498,BaseLine
0:29:43,497,BaseLine
0:29:43,498,BaseLine
0:29:43,497,BaseLine
0:29:43,498,BaseLine
0:29:43,498,BaseLine
0:29:43,498,BaseLine
0:29:43,499,BaseLine
0:29:43,498,BaseLine
0:29:43,501,BaseLine
0:29:43,499,BaseLine
0:29:43,502,BaseLine
0:29:43,499,BaseLine
0:29:43,503,BaseLine
0:29:43,499,BaseLine
0:29:43,504,BaseLine
0:29:43,499,BaseLine
0:29:43,506,BaseLine
0:29:43,500,BaseLine
0:29:43,507,BaseLine
0:29:43,500,BaseLine
0:29:43,508,BaseLine
0:29:43,501,BaseLine
0:29:43,508,BaseLine
0:29:43,501,BaseLine
0:29:43,509,BaseLine
0:29:43,502,BaseLine
0:29:44,509,BaseLine
0:29:44,503,BaseLine
0:29:44,510,BaseLine
0:29:44,503,BaseLine
0:29:44,510,BaseLine
0:29:44,504,BaseLine
0:29:44,510,BaseLine
0:29:44,505,BaseLine
0:29:44,509,BaseLine
0:29:44,506,BaseLine
0:29:44,509,BaseLine
0:29:44,507,BaseLine
0:29:44,508,BaseLine
0:29:44,508,BaseLine
0:29:44,507,BaseLine
0:29:44,510,BaseLine
0:29:44,506,BaseLine
0:29:44,511,BaseLine
0:29:44,504,BaseLine
0:29:44,512,BaseLine
0:29:44,503,BaseLine
0:29:44,513,BaseLine
0:29:44,502,BaseLine
0:29:44,513,BaseLine
0:29:44,501,BaseLine
0:29:44,514,BaseLine
0:29:44,499,BaseLine
0:29:44,514,BaseLine
0:29:44,498,BaseLine
0:29:44,514,BaseLine
0:29:44,497,BaseLine
0:29:44,514,BaseLine
0:29:44,496,BaseLine
0:29:44,513,BaseLine
0:29:44,495,BaseLine
0:29:44,513,BaseLine
0:29:44,494,BaseLine
0:29:44,512,BaseLine
0:29:44,493,BaseLine
0:29:44,512,BaseLine
0:29:44,493,BaseLine
0:29:44,511,BaseLine
0:29:44,492,BaseLine
0:29:44,510,BaseLine
0:29:44,492,BaseLine
0:29:44,508,BaseLine
0:29:44,492,BaseLine
0:29:44,507,BaseLine
0:29:44,491,BaseLine
0:29:44,505,BaseLine
0:29:44,491,BaseLine
0:29:44,504,BaseLine
0:29:44,491,BaseLine
0:29:44,503,BaseLine
0:29:44,491,BaseLine
0:29:44,501,BaseLine
0:29:44,490,BaseLine
0:29:44,500,BaseLine
0:29:44,490,BaseLine
0:29:44,499,BaseLine
0:29:44,490,BaseLine
0:29:44,498,BaseLine
0:29:44,490,BaseLine
0:29:44,497,BaseLine
0:29:44,490,BaseLine
0:29:44,496,BaseLine
0:29:44,490,BaseLine
0:29:44,495,BaseLine
0:29:44,490,BaseLine
0:29:44,495,BaseLine
0:29:44,490,BaseLine
0:29:44,494,BaseLine
