Index	Time Stamp	red Values
Start: 1417578209577
0	1417578209577	0.0
1	1417578209577	0.0
2	1417578209577	0.0
3	1417578209577	116.67244466145833
4	1417578209577	234.50569661458334
5	1417578209578	231.91121419270834
6	1417578209579	194.421630859375
7	1417578209579	86.340576171875
8	1417578209579	85.30314127604167
9	1417578209579	80.55021158854167
10	1417578209579	77.35986328125
11	1417578209579	25.816243489583332
12	1417578209579	21.114501953125
13	1417578209579	43.703938802083336
14	1417578209580	188.90519205729166
15	1417578209580	241.71354166666666
16	1417578209580	176.35205078125
17	1417578209580	254.99943033854166
18	1417578209580	254.99967447916666
19	1417578209581	254.99723307291666
20	1417578209581	254.99918619791666
21	1417578209581	254.74845377604166
22	1417578209581	253.85432942708334
23	1417578209581	251.58610026041666
24	1417578209582	247.45369466145834
25	1417578209582	249.20662434895834
26	1417578209582	250.50699869791666
27	1417578209582	251.14119466145834
28	1417578209582	244.05476888020834
29	1417578209582	243.26033528645834
30	1417578209582	245.35660807291666
31	1417578209582	243.654541015625
32	1417578209582	242.34757486979166
33	1417578209583	238.28621419270834
34	1417578209583	233.65901692708334
35	1417578209583	221.66902669270834
36	1417578209583	224.745361328125
37	1417578209583	237.12410481770834
38	1417578209583	237.69710286458334
39	1417578209583	240.33186848958334
40	1417578209583	240.02897135416666
41	1417578209583	239.97078450520834
42	1417578209583	231.26416015625
43	1417578209584	233.84969075520834
44	1417578209584	232.63313802083334
45	1417578209584	233.98421223958334
46	1417578209584	234.94051106770834
47	1417578209584	236.01180013020834
48	1417578209584	234.50040690104166
49	1417578209584	228.99039713541666
50	1417578209584	238.8974609375
51	1417578209584	239.53946940104166
52	1417578209584	242.35847981770834
53	1417578209585	242.75992838541666
54	1417578209585	243.166748046875
55	1417578209585	236.83219401041666
56	1417578209585	224.25480143229166
57	1417578209585	232.84195963541666
58	1417578209585	239.31184895833334
59	1417578209585	241.47998046875
60	1417578209585	242.68440755208334
61	1417578209585	243.08260091145834
62	1417578209585	228.09977213541666
63	1417578209585	236.45198567708334
64	1417578209585	241.26180013020834
65	1417578209585	241.01953125
66	1417578209586	243.24747721354166
67	1417578209586	230.43098958333334
68	1417578209586	228.58162434895834
69	1417578209586	232.10050455729166
70	1417578209586	237.03450520833334
71	1417578209586	236.21866861979166
72	1417578209586	113.54475911458333
73	1417578209586	7.91650390625
74	1417578209586	11.634684244791666
75	1417578209586	34.690511067708336
76	1417578209586	70.998291015625
77	1417578209587	91.356201171875
78	1417578209587	90.16422526041667
79	1417578209587	97.35823567708333
80	1417578209587	100.466064453125
81	1417578209587	109.63557942708333
82	1417578209587	119.11018880208333
83	1417578209587	111.93815104166667
84	1417578209587	115.8095703125
85	1417578209587	106.76814778645833
86	1417578209587	132.11018880208334
87	1417578209588	107.0546875
88	1417578209588	77.33902994791667
89	1417578209588	105.077392578125
90	1417578209588	117.012939453125
91	1417578209588	110.994140625
92	1417578209588	118.496337890625
93	1417578209588	122.22542317708333
94	1417578209588	128.99332682291666
95	1417578209588	113.43587239583333
96	1417578209588	111.80322265625
97	1417578209589	110.745849609375
98	1417578209589	109.26969401041667
99	1417578209589	113.79337565104167
End: 1417578209589
