Index	Time Stamp	red Values
Start: 1417638821204
0	1417638821204	0.0
1	1417638821204	84.11546103395062
2	1417638821204	19.525465374228396
3	1417638821205	219.56767457561727
4	1417638821205	248.1037495177469
5	1417638821205	243.40475260416667
6	1417638821205	249.33956163194443
7	1417638821206	249.08965326003087
8	1417638821206	242.31366705246913
9	1417638821206	249.16686197916667
10	1417638821206	249.6126422646605
11	1417638821207	243.88220968364197
12	1417638821207	248.6679470486111
13	1417638821207	248.7259765625
14	1417638821207	248.2657455632716
15	1417638821208	248.45136959876544
16	1417638821208	248.48492717978394
17	1417638821208	247.51834731867285
18	1417638821208	248.65492621527778
19	1417638821208	248.42941261574074
20	1417638821208	247.42213541666666
21	1417638821209	248.52347849151235
22	1417638821209	248.35642843364198
23	1417638821209	247.80868055555555
24	1417638821210	248.05313464506173
25	1417638821210	248.19149546682098
26	1417638821210	247.7984230324074
27	1417638821210	247.80774980709876
28	1417638821211	247.09165219907408
29	1417638821211	247.4377483603395
30	1417638821211	246.85953896604937
31	1417638821212	245.8623263888889
32	1417638821212	246.16646412037036
33	1417638821212	246.48870081018518
34	1417638821212	247.24687258873456
35	1417638821212	248.15899643132715
36	1417638821212	248.22579330632715
37	1417638821212	249.72313609182098
38	1417638821213	247.23623408564814
39	1417638821213	247.65130208333332
40	1417638821213	248.67709297839505
41	1417638821213	245.9465518904321
42	1417638821213	247.2513816550926
43	1417638821213	248.09716435185186
44	1417638821213	248.40549045138889
45	1417638821214	248.48472222222222
46	1417638821214	248.4123191550926
47	1417638821214	249.27086467978395
48	1417638821214	249.57058497299383
49	1417638821214	248.71477141203704
50	1417638821214	248.94520881558643
51	1417638821214	248.91515480324074
52	1417638821215	248.9430796682099
53	1417638821215	248.5758342978395
54	1417638821215	248.7050323109568
55	1417638821215	247.38128858024692
56	1417638821215	248.7576171875
57	1417638821215	247.3031852816358
58	1417638821215	247.07834683641974
59	1417638821216	248.21843894675925
60	1417638821216	247.2211902006173
61	1417638821216	247.49412856867283
62	1417638821216	247.94579716435186
63	1417638821216	246.10748456790122
64	1417638821216	247.35339747299383
65	1417638821216	247.34727527006171
66	1417638821217	245.3624397183642
67	1417638821217	247.48398678626543
68	1417638821217	246.65294656635803
69	1417638821217	246.1534770447531
70	1417638821217	248.4534698109568
71	1417638821218	245.80242332175925
72	1417638821218	247.19741271219135
73	1417638821218	248.01642312885804
74	1417638821218	245.6368103780864
75	1417638821218	247.18978105709877
76	1417638821218	247.16069155092592
77	1417638821218	245.0099898726852
78	1417638821219	245.4447265625
79	1417638821219	246.3705391589506
80	1417638821219	245.33113908179013
81	1417638821219	247.13138020833333
82	1417638821219	245.1448977623457
83	1417638821219	246.70242091049383
84	1417638821220	246.10417390046297
85	1417638821220	247.16256992669753
86	1417638821220	246.96100742669753
87	1417638821220	246.01101948302468
88	1417638821221	246.8660686728395
89	1417638821221	246.87511574074074
90	1417638821221	248.10866608796297
91	1417638821221	247.34880883487654
92	1417638821221	246.11830391589507
93	1417638821221	248.2372371720679
94	1417638821221	248.16369839891976
95	1417638821222	247.2449291087963
96	1417638821222	249.24980709876544
97	1417638821222	248.9736111111111
98	1417638821222	248.2108868634259
99	1417638821222	249.73011911651236
End: 1417638821222
