Index	Time Stamp	red Values
Start: 1417632870449
0	1417632870449	0.0
1	1417632870449	0.0
2	1417632870450	0.0
3	1417632870450	1.752197265625
4	1417632870450	127.820556640625
5	1417632870451	130.81787109375
6	1417632870452	127.14558919270833
7	1417632870452	123.71150716145833
8	1417632870453	123.085205078125
9	1417632870454	122.34025065104167
10	1417632870455	122.23356119791667
11	1417632870456	136.421630859375
12	1417632870457	164.28458658854166
13	1417632870457	177.73868815104166
14	1417632870458	192.49674479166666
15	1417632870458	212.592529296875
16	1417632870459	216.29256184895834
17	1417632870459	205.89518229166666
18	1417632870459	200.09431966145834
19	1417632870459	189.55354817708334
20	1417632870460	186.23193359375
21	1417632870460	180.968017578125
22	1417632870460	175.186767578125
23	1417632870460	174.58837890625
24	1417632870460	176.60213216145834
25	1417632870460	176.35196940104166
26	1417632870461	175.40771484375
27	1417632870461	163.67976888020834
28	1417632870461	159.20320638020834
29	1417632870461	157.48697916666666
30	1417632870462	154.05948893229166
31	1417632870462	149.68684895833334
32	1417632870462	143.70166015625
33	1417632870463	138.78621419270834
34	1417632870463	137.49861653645834
35	1417632870463	136.43245442708334
36	1417632870464	136.98982747395834
37	1417632870464	132.77433268229166
38	1417632870464	133.94425455729166
39	1417632870464	131.65966796875
40	1417632870464	133.39713541666666
41	1417632870464	132.96077473958334
42	1417632870465	135.02392578125
43	1417632870465	136.44482421875
44	1417632870466	131.57194010416666
45	1417632870466	122.96256510416667
46	1417632870466	120.23518880208333
47	1417632870466	119.83723958333333
48	1417632870466	121.52189127604167
49	1417632870466	124.90388997395833
50	1417632870466	126.13720703125
51	1417632870467	125.78946940104167
52	1417632870467	126.86539713541667
53	1417632870467	120.85750325520833
54	1417632870467	100.32535807291667
55	1417632870467	73.89453125
56	1417632870468	78.83723958333333
57	1417632870468	94.08211263020833
58	1417632870469	109.42000325520833
59	1417632870469	156.822021484375
60	1417632870469	230.01668294270834
61	1417632870469	239.47249348958334
62	1417632870469	249.57161458333334
63	1417632870470	254.69539388020834
64	1417632870470	255.0
65	1417632870470	255.0
66	1417632870470	255.0
67	1417632870470	255.0
68	1417632870471	255.0
69	1417632870471	255.0
70	1417632870471	255.0
71	1417632870472	254.99723307291666
72	1417632870472	254.99755859375
73	1417632870473	254.90657552083334
74	1417632870473	254.908935546875
75	1417632870473	254.8154296875
76	1417632870474	253.81681315104166
77	1417632870475	251.920166015625
78	1417632870475	249.73372395833334
79	1417632870476	248.97648111979166
80	1417632870476	249.11726888020834
81	1417632870476	248.86507161458334
82	1417632870476	248.32161458333334
83	1417632870476	247.85107421875
84	1417632870476	247.65869140625
85	1417632870477	247.59098307291666
86	1417632870477	244.00284830729166
87	1417632870477	241.43465169270834
88	1417632870477	240.84562174479166
89	1417632870477	241.277587890625
90	1417632870477	240.68815104166666
91	1417632870477	240.41682942708334
92	1417632870478	240.24112955729166
93	1417632870478	241.38924153645834
94	1417632870478	242.699462890625
95	1417632870478	242.978759765625
96	1417632870478	241.531005859375
97	1417632870478	241.837890625
98	1417632870479	242.03507486979166
99	1417632870480	242.57039388020834
End: 1417632870480
