@relation classType
@attribute rrInterval, NUMERIC 
@attribute classType { Exercise , BaseLine }
@data
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
12 ,BaseLine
12 ,BaseLine
12 ,BaseLine
12 ,BaseLine
12 ,BaseLine
12 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
8 ,BaseLine
8 ,BaseLine
8 ,BaseLine
8 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
8 ,BaseLine
8 ,BaseLine
8 ,BaseLine
8 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
100 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
24 ,BaseLine
24 ,BaseLine
24 ,BaseLine
24 ,BaseLine
24 ,BaseLine
24 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
369 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
68 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
92 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
28 ,BaseLine
28 ,BaseLine
28 ,BaseLine
28 ,BaseLine
28 ,BaseLine
28 ,BaseLine
28 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
